Fiscal Year,Region,Country,Project ID,Project Name,URL,TTL,Lending Instrument,Sector Board,Product Line,IDA Education Commitments (US$M),IBRD Education Commitments (US$M),Other Financing for Education,Total Commitments for Education (US$M),Education as % of Total Commitment
FY11,Europe & Central Asia,Kosovo,P112227,First Sustainable Employment Development Policy Operation,http://www.worldbank.org/projects/P112227?lang=en,"Ajwad,Mohamed Ihsan",Development Policy Lending,Social Protection & Labor,IBRD/IDA,0.88,0,0,0.88,14%
FY11,Europe & Central Asia,Kosovo,P119145,Social Inclusion & Local Economic Development Project,http://www.worldbank.org/projects/P119145?lang=en,"Ibragimova,Lola",Specific Investment Loan,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,1.25,1.25,25%
FY11,Europe & Central Asia,Kosovo,P120021,2nd Youth Development Project,http://www.worldbank.org/projects/P120021?lang=en,"Ibragimova,Lola",Specific Investment Loan,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,0.85,0.85,30%
FY11,Europe & Central Asia,Kyrgyz Republic,P118423,Fast Track Initiative Catalytic Grant Fund -2,http://www.worldbank.org/projects/P118423?lang=en,"Hou,Dingyong",Specific Investment Loan,Education,Recipient Executed Activities,0,0,6,6,100%
FY11,Europe & Central Asia,Latvia,P121796,Second Safety Net And Social Sector Reform Program,http://www.worldbank.org/projects/P121796?lang=en,"Sinnott,Emily",Development Policy Lending,Social Protection & Labor,IBRD/IDA,0,48.31,0,48.31,34%
FY11,Europe & Central Asia,Russian Federation,P120338,Financial Education And Financial Literacy,http://www.worldbank.org/projects/P120338?lang=en,"Nellemann,Soren",Specific Investment Loan,Finance & Markets,IBRD/IDA,0,12,0,12,48%
FY11,Europe & Central Asia,Tajikistan,P120445,Fifth Programmatic Development Policy Grant,http://www.worldbank.org/projects/P120445?lang=en,"Zaidi,Salman",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,2.5,0,0,2.5,25%
FY11,Europe & Central Asia,Tajikistan,P126211,Russia Education Aid For Development (READ),http://www.worldbank.org/projects/P126211?lang=en,"Bazarova,Saodat",Specific Investment Loan,Education,Recipient Executed Activities,0,0,3.4,3.4,100%
FY11,Europe & Central Asia,Turkey,P122179,Additional Financing for the Istanbul Seismic Risk Mitigation and Emergency Preparedness Project,http://www.worldbank.org/projects/P122179?lang=en,"Kryspin-Watson,Jolanta",Specific Investment Loan,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,0,54,0,54,36%
FY11,Europe & Central Asia,Turkey,P123073,Second Restoring Equitable Growth And Employment Programmatic Development Policy Loan,http://www.worldbank.org/projects/P123073?lang=en,"Wes,Marina",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,0,77,0,77,11%
FY10,Africa,Ghana,P120942,eGhana Additional Financing,http://www.worldbank.org/projects/P120942?lang=en,"Ceesay,Ismaila B.",Specific Investment Loan,Governance,IBRD/IDA,3.58,0,0,3.58,8%
FY11,Latin America & Caribbean,Brazil,P106768,Rio De Janeiro Renovating And Strengthening Public Management,http://www.worldbank.org/projects/P106768?lang=en,"Vinuela,Lorena",Technical Assistance Loan,Governance,IBRD/IDA,0,5.04,0,5.04,27%
FY11,Latin America & Caribbean,Brazil,P111665,Rio De Janeiro Municipality Fiscal Consolidation For Efficie,http://www.worldbank.org/projects/P111665?lang=en,"Kikoni,Edith",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,0,177.65,0,177.65,17%
FY11,Latin America & Caribbean,Brazil,P120032,Public Procurement Strengthening In Public Works,http://www.worldbank.org/projects/P120032?lang=en,"Costa,Frederico Rabello T.",Technical Assistance Loan,Governance,Recipient Executed Activities,0,0,0.4,0.4,100%
FY11,Latin America & Caribbean,Colombia,P117590,"Science, Technology And Innovation",http://www.worldbank.org/projects/P117590?lang=en,"Hawkins,Robert J.",Adaptable Program Loan,Education,IBRD/IDA,0,2.5,0,2.5,10%
FY11,Latin America & Caribbean,Colombia,P125697,JSDF Colombia: Soccer Together:  Rethinking How To Improve Gender Equity and Inclusion in the Education System,http://www.worldbank.org/projects/P125697?lang=en,"Fabre,Marcelo Jorge",Technical Assistance Loan,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,1.9,1.9,100%
FY11,Latin America & Caribbean,Dominican Republic,P121778,Second Performance And Accountability Of Social Sectors Development Policy Loan,http://www.worldbank.org/projects/P121778?lang=en,"Clert,Carine",Development Policy Lending,Social Protection & Labor,IBRD/IDA,0,42,0,42,28%
FY11,Latin America & Caribbean,Guatemala,P121137,Empowering Guatemala'S Indigenous Communities To Cope with Climate Change,http://www.worldbank.org/projects/P121137?lang=en,"von Glahn,Drew",Specific Investment Loan,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,0.2,0.2,100%
