Fiscal Year,Region,Country,Project ID,Project Name,URL,TTL,Lending Instrument,Sector Board,Product Line,IDA Education Commitments (US$M),IBRD Education Commitments (US$M),Other Financing for Education,Total Commitments for Education (US$M),Education as % of Total Commitment
FY09,Europe & Central Asia,Albania,P113978,Youth Empowerment Through Community Development In Albania,http://www.worldbank.org/projects/P113978?lang=en,"Imeri,Bekim",Learning and Innovation Loan,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,1.16,1.16,100%
FY09,Europe & Central Asia,Armenia,P107772,Second Education Quality And Relevance,http://www.worldbank.org/projects/P107772?lang=en,"Chen,Dandan",Adaptable Program Loan,Education,IBRD/IDA,25,0,0,25,100%
FY09,Europe & Central Asia,Armenia,P115743,Social Investment Fund III Additional Financing,http://www.worldbank.org/projects/P115743?lang=en,"Drabek,Ivan",Specific Investment Loan,Social Protection & Labor,IBRD/IDA,3.92,0,0,3.92,49%
FY09,Europe & Central Asia,Azerbaijan,P115396,Public Investment Capacity Building Project,http://www.worldbank.org/projects/P115396?lang=en,"Aliyev,Sadig",Technical Assistance Loan,Transport & ICT,IBRD/IDA,1.6,0,0,1.6,20%
FY09,Europe & Central Asia,Bulgaria,P100657,Social Inclusion Project,http://www.worldbank.org/projects/P100657?lang=en,"Danchev,Plamen Nikolov",Specific Investment Loan,Education,IBRD/IDA,0,14.75,0,14.75,25%
FY09,Europe & Central Asia,Bulgaria,P102160,Social Sectors Institutional Reform Development Policy Loan,http://www.worldbank.org/projects/P102160?lang=en,"Dulitzky,Daniel",Development Policy Lending,Social Protection & Labor,IBRD/IDA,0,60,0,60,40%
FY09,Europe & Central Asia,Bulgaria,P115400,Third Social Sectors Institutional Reform Development Policy Loan Project,http://www.worldbank.org/projects/P115400?lang=en,"Schneider,Pia",Development Policy Lending,Social Protection & Labor,IBRD/IDA,0,80,0,80,40%
FY09,Europe & Central Asia,"Macedonia, former Yugoslav Republic of",P103974,Conditional Cash Transfers Project,http://www.worldbank.org/projects/P103974?lang=en,"Naceva,Bojana",Specific Investment Loan,Social Protection & Labor,IBRD/IDA,0,7.5,0,7.5,30%
FY09,Europe & Central Asia,Moldova,P114838,Second Social Investment Fund Project -Additional Financing,http://www.worldbank.org/projects/P114838?lang=en,"Prywes,Menahem M.",Specific Investment Loan,Social Protection & Labor,IBRD/IDA,1,0,0,1,20%
FY09,Europe & Central Asia,Poland,P116125,"Poland Employment, Entrepreneurship & Human Capital Dev. Policy Program DPL",http://www.worldbank.org/projects/P116125?lang=en,"Packard,Truman G.",Development Policy Lending,Social Protection & Labor,IBRD/IDA,0,143.03,0,143.03,11%
FY09,Europe & Central Asia,Uzbekistan,P107845,Second Basic Education,http://www.worldbank.org/projects/P107845?lang=en,"Naqvi,Naveed Hassan",Adaptable Program Loan,Education,IBRD/IDA,28,0,0,28,100%
FY09,Latin America & Caribbean,Argentina,P106752,Unleashing Productive Innovation For Competitiveness,http://www.worldbank.org/projects/P106752?lang=en,"Quijada Torres,Cristian",Adaptable Program Loan,Trade & Competitiveness,IBRD/IDA,0,22.5,0,22.5,15%
FY09,Latin America & Caribbean,Brazil,P106208,Pernambuco Education Results & Accountability (PERA) Project,http://www.worldbank.org/projects/P106208?lang=en,"Drabble,Michael",Specific Investment Loan,Education,IBRD/IDA,0,146.3,0,146.3,95%
FY09,Latin America & Caribbean,Brazil,P106765,Ceara Inclusive Growth (SWAP II),http://www.worldbank.org/projects/P106765?lang=en,"Kenyon,Thomas",Adaptable Program Loan,Governance,IBRD/IDA,0,48,0,48,20%
FY09,Latin America & Caribbean,Brazil,P107146,Acre Social And Economic Inclusion And Sustainable Development,http://www.worldbank.org/projects/P107146?lang=en,"Goncalves Moreira,Adriana",Specific Investment Loan,Agriculture,IBRD/IDA,0,36,0,36,30%
FY09,Latin America & Caribbean,Brazil,P107843,Federal District Multisector Management,http://www.worldbank.org/projects/P107843?lang=en,"Pena De Lima,Daniela",Specific Investment Loan,"Health, Nutrition & Population",IBRD/IDA,0,44.2,0,44.2,34%
FY09,Latin America & Caribbean,Brazil,P113631,Distance Learning Course For Integrated Slum Upgrading Actions,http://www.worldbank.org/projects/P113631?lang=en,"Milroy,Kevin A.",Technical Assistance Loan,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,0.05,0.05,25%
FY09,Latin America & Caribbean,Chile,P082927,Promoting Innovation And Competitiveness Project,http://www.worldbank.org/projects/P082927?lang=en,"Lasagabaster,Esperanza",Specific Investment Loan,Education,IBRD/IDA,0,4.5,0,4.5,15%
FY09,Latin America & Caribbean,Colombia,P101211,Support For The Second Phase Of The Expansion Of The Program,http://www.worldbank.org/projects/P101211?lang=en,"Jones,Theresa",Specific Investment Loan,Social Protection & Labor,IBRD/IDA,0,108.21,0,108.21,17%
FY09,Latin America & Caribbean,Costa Rica,P115173,Public Finance And Competitiveness Development Policy Loan with Deferred Drawdown Option,http://www.worldbank.org/projects/P115173?lang=en,"Shankar,Rashmi",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,0,85,0,85,17%
FY09,Latin America & Caribbean,El Salvador,P114910,Public Finance And Social Sector Development Policy Loan,http://www.worldbank.org/projects/P114910?lang=en,"Cunha,Barbara",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,0,126,0,126,28%
FY09,Latin America & Caribbean,Grenada,P095681,OECS (Grenada) Skills For Inclusive Growth,http://www.worldbank.org/projects/P095681?lang=en,"Nannyonjo,Harriet",Adaptable Program Loan,Education,IBRD/IDA,2.7,0,0,2.7,90%
FY09,Latin America & Caribbean,Grenada,P113342,OECS Education Development Project : Additional financing,http://www.worldbank.org/projects/P113342?lang=en,"Nannyonjo,Harriet",Adaptable Program Loan,Education,IBRD/IDA,1.9,0,0,1.9,100%
FY09,Latin America & Caribbean,Haiti,P114775,Community-Driven Development (CDD) Additional Financing,http://www.worldbank.org/projects/P114775?lang=en,"Charlier,Garry",Specific Investment Loan,Agriculture,IBRD/IDA,0.4,0,0,0.4,5%
FY09,Latin America & Caribbean,Haiti,P115261,Emergency School Reconstruction Project,http://www.worldbank.org/projects/P115261?lang=en,"Ramanantoanina,Patrick Philippe",Emergency Recovery Loan,Education,IBRD/IDA,4.75,0,0,4.75,95%
FY09,Latin America & Caribbean,Honduras,P150582,Piloting New Forms Of Community-Administered,http://www.worldbank.org/projects/P150582?lang=en,"Alonso,Juan Diego",IPF,Education,Recipient Executed Activities,0,0,1.71,1.71,100%
FY09,Latin America & Caribbean,Jamaica,P101321,Fiscal And Debt Sustainability Development Policy Loan,http://www.worldbank.org/projects/P101321?lang=en,"Mustafaoglu,Zafer",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,0,5,0,5,5%
FY09,Latin America & Caribbean,Nicaragua,P106747,Development Policy Credit,http://www.worldbank.org/projects/P106747?lang=en,"Olinto,Pedro",Development Policy Lending,Governance,IBRD/IDA,3.4,0,0,3.4,17%
FY09,Latin America & Caribbean,Panama,P106686,Basic Education Quality Improvement Project,http://www.worldbank.org/projects/P106686?lang=en,"Bonilla-Chacin,Maria Eugenia",Specific Investment Loan,Education,IBRD/IDA,0,35,0,35,100%
FY09,Latin America & Caribbean,Peru,P101177,Second Results And Accountability (REACT) Development Policy,http://www.worldbank.org/projects/P101177?lang=en,"Marini,Alessandra",Development Policy Lending,Social Protection & Labor,IBRD/IDA,0,69.3,0,69.3,21%
FY09,Middle East & North Africa,Jordan,P102487,Higher Education Reform For The Knowledge Economy,http://www.worldbank.org/projects/P102487?lang=en,"Alkhoja,Ghassan N.",Specific Investment Loan,Education,IBRD/IDA,0,25,0,25,100%
FY09,Middle East & North Africa,Jordan,P105036,Second Education Reform For The Knowledge Economy,http://www.worldbank.org/projects/P105036?lang=en,"Moreno Olmedilla,Juan Manuel",Specific Investment Loan,Education,IBRD/IDA,0,60,0,60,100%
FY09,Middle East & North Africa,Lebanon,P111849,Second Emergency Social Protection Implementation Support Project,http://www.worldbank.org/projects/P111849?lang=en,"Sayed,Haneen Ismail",Emergency Recovery Loan,Social Protection & Labor,Special Financing,0,0,1.02,1.02,17%
FY09,Middle East & North Africa,Middle East and North Africa,P117749,5M-Regional Perspectives On Iraqi Displacement,http://www.worldbank.org/projects/P117749?lang=en,"Scott,Colin S.",Technical Assistance Loan,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,0.32,0.32,100%
FY09,Middle East & North Africa,Morocco,P116414,Capacity Building And Mgmt To Improve Schooling For Poor JSDF,http://www.worldbank.org/projects/P116414?lang=en,"Poupart,Nadine T.",Technical Assistance Loan,Social Protection & Labor,Recipient Executed Activities,0,0,1.6,1.6,70%
FY09,Middle East & North Africa,West Bank and Gaza,P116758,Tertiary Education Project,http://www.worldbank.org/projects/P116758?lang=en,"Cuadra,Ernesto P.",Specific Investment Loan,Education,Special Financing,0,0,5,5,100%
FY09,Middle East & North Africa,West Bank and Gaza,P116776,Third Emergency Services Support Project (ESSP III) : Additional financing,http://www.worldbank.org/projects/P116776?lang=en,"Murray,Eileen",Specific Investment Loan,Social Protection & Labor,Special Financing,0,0,1.45,1.45,29%
FY06,Africa,"Gambia, The",P077903,Third Education Project - Phase II,http://www.worldbank.org/projects/P077903?lang=en,"Tomita,Ryoko",Adaptable Program Loan,Education,IBRD/IDA,7.76,0,0,7.76,97%
FY09,South Asia,Bangladesh,P106161,Secondary Education Quality And Access Improvement,http://www.worldbank.org/projects/P106161?lang=en,"Parajuli,Dilip",Specific Investment Loan,Education,IBRD/IDA,130.7,0,0,130.7,100%
FY09,South Asia,Bangladesh,P106216,Higher Education Quality Enhancement Project,http://www.worldbank.org/projects/P106216?lang=en,"Nagashima,Yoko",Specific Investment Loan,Education,IBRD/IDA,81,0,0,81,100%
FY09,South Asia,Bhutan,P111222,Bhutan Development Policy Grant/Credit For Institutional Strengthening,http://www.worldbank.org/projects/P111222?lang=en,"Basu,Ananya",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,2.83,0,0,2.83,14%
FY09,South Asia,Pakistan,P102608,Punjab Education Sector Project,http://www.worldbank.org/projects/P102608?lang=en,"Waheed,Huma Ali",Specific Investment Loan,Education,IBRD/IDA,350,0,0,350,100%
FY09,South Asia,Pakistan,P105075,Third Pakistan Poverty Alleviation Fund Project,http://www.worldbank.org/projects/P105075?lang=en,"Alvi,Mohammad Imtiaz Akhtar",Specific Investment Loan,Agriculture,IBRD/IDA,25,0,0,25,10%
FY09,South Asia,Pakistan,P107300,Sindh Education Ssector Project,http://www.worldbank.org/projects/P107300?lang=en,"Raju,Dhushyanth",Specific Investment Loan,Education,IBRD/IDA,300,0,0,300,100%
FY08,Africa,Africa,P113571,UIS Building Sustainable Reporting Systems For Education Finance,http://www.worldbank.org/projects/P113571?lang=en,"Brossard,Mathieu",Specific Investment Loan,Education,Recipient Executed Activities,0,0,0.22,0.22,100%
FY08,Africa,Burkina Faso,P108791,International Institute For Water And Environmental Engineer,http://www.worldbank.org/projects/P108791?lang=en,"Ouedraogo,Adama",Specific Investment Loan,Education,IBRD/IDA,5,0,0,5,100%
FY08,Africa,Burkina Faso,P110642,Basic Education Sector Project - Additional Financing,http://www.worldbank.org/projects/P110642?lang=en,"Ouedraogo,Adama",Specific Investment Loan,Education,IBRD/IDA,11.25,0,0,11.25,75%
FY08,Africa,"Congo, Democratic Republic of",P111133,Support To The Social & Economic Reintegration Of Demobilised CAFF and OVC in the DRC,http://www.worldbank.org/projects/P111133?lang=en,"Harborne,Bernard",Technical Assistance Loan,Social Protection & Labor,Recipient Executed Activities,0,0,0.64,0.64,40%
FY08,Africa,Cote d'Ivoire,P082817,Emergency Post-Conflict Assistance Project,http://www.worldbank.org/projects/P082817?lang=en,"Bance,Paul G. A.",Emergency Recovery Loan,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,26.4,0,0,26.4,22%
FY08,Africa,Cote d'Ivoire,P108808,Youth Employment Pilot,http://www.worldbank.org/projects/P108808?lang=en,"Tovo,Maurizia",Learning and Innovation Loan,Social Protection & Labor,Recipient Executed Activities,0,0,0.66,0.66,30%
FY08,Africa,Eritrea,P107254,Integrated Early Childhood Development Project II,http://www.worldbank.org/projects/P107254?lang=en,"Bertoncino,Carla",Specific Investment Loan,Education,IBRD/IDA,4.2,0,0,4.2,35%
FY08,Africa,Ethiopia,P106559,Protection Of Basic Services - Additional Financing,http://www.worldbank.org/projects/P106559?lang=en,"Chase,Robert S.",Specific Investment Loan,Social Protection & Labor,IBRD/IDA,107.5,0,0,107.5,50%
FY08,Africa,Ethiopia,P108932,Pastoral Community Development Project II,http://www.worldbank.org/projects/P108932?lang=en,"Legesse,Assaye",Adaptable Program Loan,Agriculture,IBRD/IDA,16,0,0,16,20%
FY08,Africa,Ghana,P103631,Sixth Poverty Reduction Support Credit,http://www.worldbank.org/projects/P103631?lang=en,"Cavalcanti,Carlos B.",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,20,0,0,20,20%
FY08,Africa,Ghana,P111117,Community Based Rural Development Project Supplemental,http://www.worldbank.org/projects/P111117?lang=en,"Annor-Frempong,Charles",Specific Investment Loan,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,6.6,0,0,6.6,30%
FY08,Africa,Guinea-Bissau,P109722,Emergency Public Service Delivery,http://www.worldbank.org/projects/P109722?lang=en,"Weber,Barbara",Emergency Recovery Loan,Governance,IBRD/IDA,7,0,0,7,70%
FY08,Africa,Lesotho,P102302,Poverty Reduction Support Credit,http://www.worldbank.org/projects/P102302?lang=en,"Arora,Preeti",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,1.59,0,0,1.59,10%
FY08,Africa,Liberia,P110165,Support To Poverty Reduction Strategy Preparation,http://www.worldbank.org/projects/P110165?lang=en,"Hoffman,Jariya",Technical Assistance Loan,Poverty and Equity,Recipient Executed Activities,0,0,0.36,0.36,50%
FY08,Africa,Madagascar,P099420,Poverty Reduction Strategy Credit,http://www.worldbank.org/projects/P099420?lang=en,"D'Hoore,Alain W.",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,4,0,0,4,10%
FY08,Africa,Madagascar,P105135,Fifth Poverty Reduction Strategy Credit,http://www.worldbank.org/projects/P105135?lang=en,"D'Hoore,Alain W.",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,5.5,0,0,5.5,11%
FY08,Africa,Malawi,P110446,Third Social Action Fund (MASAF 3) APL II (LDF Mechanism),http://www.worldbank.org/projects/P110446?lang=en,"Pojarski,Peter Ivanov",Adaptable Program Loan,Social Protection & Labor,IBRD/IDA,15,0,0,15,30%
FY08,Africa,Mauritania,P109078,EFA/FTI: Education Sector Development Program,http://www.worldbank.org/projects/P109078?lang=en,"Martins,Geraldo Joao",Specific Investment Loan,Education,Recipient Executed Activities,0,0,12.04,12.04,86%
FY08,Africa,Mauritius,P106650,Second Development Policy Loan,http://www.worldbank.org/projects/P106650?lang=en,"Rodrigues Bastos,Fabiano",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,0,5.1,0,5.1,17%
FY08,Africa,Mozambique,P105205,Higher Education Project (Supplemental),http://www.worldbank.org/projects/P105205?lang=en,"Liang,Xiaoyan",Specific Investment Loan,Education,IBRD/IDA,13.8,0,0,13.8,92%
FY08,Africa,Niger,P095949,Local Urban Infrastructure Development Project,http://www.worldbank.org/projects/P095949?lang=en,"Coulibaly,Zie Ibrahima",Specific Investment Loan,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,4.5,0,0,4.5,15%
FY08,Africa,Rwanda,P104990,Fourth Poverty Reduction Strategy Grant,http://www.worldbank.org/projects/P104990?lang=en,"Ezemenari,Kenechukwu Maria",Development Policy Lending,Poverty and Equity,IBRD/IDA,8.4,0,0,8.4,12%
FY08,Africa,Sierra Leone,P109165,Promoting Sustainable Youth Employment through Capacity Building,http://www.worldbank.org/projects/P109165?lang=en,"Lytle,Paula F.",Technical Assistance Loan,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,0.08,0.08,50%
FY08,Africa,Sierra Leone,P109287,Promoting Sustainable Youth Employment through Youth Entrepreneurship,http://www.worldbank.org/projects/P109287?lang=en,"Lytle,Paula F.",Specific Investment Loan,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,0.09,0.09,50%
FY08,Africa,Sierra Leone,P109339,Vocational Training For Youths With Disabilities In Western,http://www.worldbank.org/projects/P109339?lang=en,"Van Dyck,John",Learning and Innovation Loan,Education,Recipient Executed Activities,0,0,0.34,0.34,100%
FY08,Africa,Sierra Leone,P109364,Skills Training And Career Development Project For Disadvant,http://www.worldbank.org/projects/P109364?lang=en,"Ovadiya,Mirey",Learning and Innovation Loan,Education,Recipient Executed Activities,0,0,0.31,0.31,100%
FY08,Africa,Sierra Leone,P109368,Support To Basic Education - Caritas Makeni School Rehabilition/Construction Project,http://www.worldbank.org/projects/P109368?lang=en,"Ovadiya,Mirey",Specific Investment Loan,Education,Recipient Executed Activities,0,0,0.33,0.33,100%
FY08,Africa,Sudan,P107256,Blue Nile Start-Up Emergency Project,http://www.worldbank.org/projects/P107256?lang=en,"ElFadil,Yousif Mubarak",Emergency Recovery Loan,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,1.39,1.39,19%
FY08,Africa,Tanzania,P098496,Science & Technology Higher Education,http://www.worldbank.org/projects/P098496?lang=en,"Cao,Xiaonan",Adaptable Program Loan,Education,IBRD/IDA,88,0,0,88,88%
FY08,Africa,Togo,P110943,Community Development Project,http://www.worldbank.org/projects/P110943?lang=en,"Van Dyck,John",Emergency Recovery Loan,Social Protection & Labor,IBRD/IDA,5.16,0,0,5.16,30%
FY08,Africa,Uganda,P101231,Seventh Poverty Reduction Support Credit (PRSC7),http://www.worldbank.org/projects/P101231?lang=en,"Merotto,Dino Leonardo",Development Policy Lending,Governance,IBRD/IDA,18,0,0,18,9%
FY08,East Asia & Pacific,Cambodia,P109925,Education For All Fast Track Initiative Catalytic Trust,http://www.worldbank.org/projects/P109925?lang=en,"Beng,Simeth",Specific Investment Loan,Education,Recipient Executed Activities,0,0,53.38,53.38,93%
FY08,East Asia & Pacific,China,P085376,Rural Migrant Skills Development And Employment Project,http://www.worldbank.org/projects/P085376?lang=en,"Wang,Dewen",Specific Investment Loan,Social Protection & Labor,IBRD/IDA,0,36,0,36,72%
FY08,East Asia & Pacific,Indonesia,P096921,National Program For Community Empowerment In Urban Areas,http://www.worldbank.org/projects/P096921?lang=en,"Soraya,George",Specific Investment Loan,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,33.75,14.22,0,47.97,27%
FY08,East Asia & Pacific,Indonesia,P097104,BERMUTU-Better Education through Reformed Management and Universal Teacher Upgrading,http://www.worldbank.org/projects/P097104?lang=en,"Iskandar,Susiana",Specific Investment Loan,Education,IBRD/IDA,47.97,19.11,0,67.08,78%
FY08,East Asia & Pacific,Indonesia,P105002,National Program For Community Empowerment In Rural Areas,http://www.worldbank.org/projects/P105002?lang=en,"Satria,Sentot Surya",Specific Investment Loan,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,28.5,6.18,0,34.68,15%
FY08,East Asia & Pacific,Indonesia,P105637,Fourth Development Policy Loan,http://www.worldbank.org/projects/P105637?lang=en,"Chaudhuri,Shubham",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,0,30,0,30,5%
FY08,East Asia & Pacific,Indonesia,P106107,Dutch Education Support Program (TF057271).  Recipient-Executed,http://www.worldbank.org/projects/P106107?lang=en,"Chang,Mae Chu",Specific Investment Loan,Education,Recipient Executed Activities,0,0,2.18,2.18,100%
FY08,East Asia & Pacific,Indonesia,P126039,Cendrawasih University: The Respek Program In Papua And West Papua Provinces,http://www.worldbank.org/projects/P126039?lang=en,"Woo,Sonya",Technical Assistance Loan,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,0.63,0.63,50%
FY08,East Asia & Pacific,Indonesia,P126163,"JSDF Poverty Reduction And Women'S Leadership: The ""Prime"" Project",http://www.worldbank.org/projects/P126163?lang=en,"Kuntari,Sri",Technical Assistance Loan,"Social, Urban, Rural and Resilience Global Practice",Recipient Executed Activities,0,0,0.51,0.51,30%
FY08,East Asia & Pacific,Lao People's Democratic Republic,P107242,Fourth Poverty Reduction Support Operation,http://www.worldbank.org/projects/P107242?lang=en,"Vostroknutova,Ekaterina",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,1.3,0,0,1.3,13%
FY08,East Asia & Pacific,Mongolia,P111059,Supplement Rural Education And Development (READ) Project (formerly Rural Education Support Project),http://www.worldbank.org/projects/P111059?lang=en,"Tandon,Prateek",Specific Investment Loan,Education,IBRD/IDA,0.75,0,0,0.75,75%
FY08,East Asia & Pacific,Philippines,P106443,Support For Basic Ed. Sector Reform,http://www.worldbank.org/projects/P106443?lang=en,"Perez,Lynnette Dela Cruz",Specific Investment Loan,Education,Recipient Executed Activities,0,0,32,32,100%
FY08,East Asia & Pacific,Thailand,P110260,Thailand Civil Society and Small Grants Program,http://www.worldbank.org/projects/P110260?lang=en,"Unkulvasapaul,Manida",Technical Assistance Loan,Recipient Executed Activities,"Social, Urban, Rural and Resilience Global Practice",0,0,0.01,0.01,40%
FY08,East Asia & Pacific,Vietnam,P105287,Poverty Reduction Support Credit 7,http://www.worldbank.org/projects/P105287?lang=en,"Rama,Martin G.",Development Policy Lending,Governance,IBRD/IDA,16.5,0,0,16.5,11%
FY08,Europe & Central Asia,Azerbaijan,P102117,Second Education Sector Development Project,http://www.worldbank.org/projects/P102117?lang=en,"Chen,Dandan",Adaptable Program Loan,Education,IBRD/IDA,25,0,0,25,100%
FY08,Europe & Central Asia,Kazakhstan,P090695,Technology Commercialization Project,http://www.worldbank.org/projects/P090695?lang=en,"Grigorian,Karen",Specific Investment Loan,Trade & Competitiveness,IBRD/IDA,0,2.68,0,2.68,20%
FY08,Europe & Central Asia,Kazakhstan,P101928,Health Sector Technology Transfer And Institutional Reform,http://www.worldbank.org/projects/P101928?lang=en,"Bortman,Carlos Marcelo",Specific Investment Loan,"Health, Nutrition & Population",IBRD/IDA,0,3.53,0,3.53,3%
FY08,Europe & Central Asia,Kosovo,P102174,Institutional Development For Education Project,http://www.worldbank.org/projects/P102174?lang=en,"Kelmendi,Flora",Specific Investment Loan,Education,IBRD/IDA,7.2,0,0,7.2,72%
FY08,Europe & Central Asia,Moldova,P103941,Second Poverty Reduction Support Credit,http://www.worldbank.org/projects/P103941?lang=en,"Olusi,Olasupo",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,2,0,0,2,20%
FY08,Europe & Central Asia,Serbia,P096823,Delivery Of Improved Local Services Project,http://www.worldbank.org/projects/P096823?lang=en,"Holt,Ana",Specific Investment Loan,"Health, Nutrition & Population",IBRD/IDA,0,6.03,0,6.03,13%
FY08,Europe & Central Asia,Tajikistan,P104006,Tajikistan Youth Social and Economic Opportunity Grant,http://www.worldbank.org/projects/P104006?lang=en,"Michael,Sarah G.",Technical Assistance Loan,Recipient Executed Activities,"Social, Urban, Rural and Resilience Global Practice",0,0,0.84,0.84,40%
FY08,Europe & Central Asia,Ukraine,P096389,Development Policy Loan 2,http://www.worldbank.org/projects/P096389?lang=en,"Raiser,Martin",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,0,21,0,21,7%
FY08,Latin America & Caribbean,Bolivia,P083965,Secondary Education Transformation,http://www.worldbank.org/projects/P083965?lang=en,"Alvarez,Patricia",Specific Investment Loan,Education,IBRD/IDA,9.1,0,0,9.1,91%
FY08,Latin America & Caribbean,Bolivia,P109057,Emergency Recovery And Disaster Management Project Additional Financing,http://www.worldbank.org/projects/P109057?lang=en,"Guzman Escobar,Armando Eduardo",Emergency Recovery Loan,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,0.44,0,0,0.44,10%
FY08,Latin America & Caribbean,Brazil,P101324,Minas Gerais Partnership II SWAP,http://www.worldbank.org/projects/P101324?lang=en,"Clarke,Roland N.",Specific Investment Loan,Governance,IBRD/IDA,0,146.4,0,146.4,15%
FY08,Latin America & Caribbean,Caribbean,P108711,Caribbean Knowledge And Learning Network - EU Contribution,http://www.worldbank.org/projects/P108711?lang=en,"Gallegos,Doyle",Technical Assistance Loan,Transport & ICT,Recipient Executed Activities,0,0,1.2,1.2,50%
FY08,Latin America & Caribbean,Colombia,P052608,Antioquia Upper Secondary Education,http://www.worldbank.org/projects/P052608?lang=en,"Becerra,Marcelo",Specific Investment Loan,Education,IBRD/IDA,0,17.8,0,17.8,89%
FY08,Latin America & Caribbean,Colombia,P082908,Colombia Rural Education Project (Phase II),http://www.worldbank.org/projects/P082908?lang=en,"Becerra,Marcelo",Adaptable Program Loan,Education,IBRD/IDA,0,19.6,0,19.6,49%
FY08,Latin America & Caribbean,Colombia,P105164,"Second Student Loan Support Project, APL Phase I",http://www.worldbank.org/projects/P105164?lang=en,"Becerra,Marcelo",Adaptable Program Loan,Education,IBRD/IDA,0,300,0,300,100%
FY08,Latin America & Caribbean,Guatemala,P108404,Monitoring Of Statistics In The Health And Education Sectors,http://www.worldbank.org/projects/P108404?lang=en,"Azevedo,Joao Pedro Wagner De",Technical Assistance Loan,Poverty and Equity,Recipient Executed Activities,0,0,0.11,0.11,50%
FY08,Latin America & Caribbean,Haiti,P106621,Meeting Teacher Needs For EFA,http://www.worldbank.org/projects/P106621?lang=en,"Ramanantoanina,Patrick Philippe",Specific Investment Loan,Education,IBRD/IDA,2.88,0,0,2.88,48%
FY08,Latin America & Caribbean,Haiti,P106689,Emergency Recovery And Disaster Management (Additional Financing),http://www.worldbank.org/projects/P106689?lang=en,"Gartley,Ross Alexander",Emergency Recovery Loan,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,0.67,0,0,0.67,9%
FY08,Latin America & Caribbean,Haiti,P106699,Urban Community Driven Development Project / PRODEPUR,http://www.worldbank.org/projects/P106699?lang=en,"Alwahti,Ali",Specific Investment Loan,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,1.57,0,0,1.57,10%
FY08,Latin America & Caribbean,Haiti,P112133,Supplemental Egro-Ii Development Policy Grant,http://www.worldbank.org/projects/P112133?lang=en,"Bidani,Benu",Development Policy Lending,Macro Economics & Fiscal Management,Special Financing,0,0,1,1,10%
FY08,Latin America & Caribbean,Honduras,P101218,"Honduras Education Quality, Governance, & Institutional Strengthening",http://www.worldbank.org/projects/P101218?lang=en,"Alonso,Juan Diego",Specific Investment Loan,Education,IBRD/IDA,8.91,0,0,8.91,58%
FY08,Latin America & Caribbean,Jamaica,P095673,Early Childhood Development Project,http://www.worldbank.org/projects/P095673?lang=en,"Nannyonjo,Harriet",Specific Investment Loan,Education,IBRD/IDA,0,9,0,9,60%
FY08,Latin America & Caribbean,Jamaica,P109575,Hurricane Dean Emergency Recovery Loan Project,http://www.worldbank.org/projects/P109575?lang=en,"Nunez del Campo,Angelica",Emergency Recovery Loan,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,0,4.7,0,4.7,47%
FY08,Latin America & Caribbean,Panama,P105555,Basic Education -Additional Financing,http://www.worldbank.org/projects/P105555?lang=en,"Bonilla-Chacin,Maria Eugenia",Specific Investment Loan,Education,IBRD/IDA,0,4.25,0,4.25,85%
FY08,Middle East & North Africa,Djibouti,P088876,Urban Poverty Reduction Project,http://www.worldbank.org/projects/P088876?lang=en,"Rouhana,Salim",Specific Investment Loan,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,0.3,0,0,0.3,10%
